#k i j head boundname
3 1 22 307.444 perimeter-heads
3 1 23 307.307 perimeter-heads
3 1 24 307.161 perimeter-heads
3 1 25 307.015 perimeter-heads
3 1 26 306.865 perimeter-heads
3 1 27 306.714 perimeter-heads
3 1 28 306.563 perimeter-heads
3 1 29 306.404 perimeter-heads
3 1 30 306.244 perimeter-heads
3 1 31 306.077 perimeter-heads
3 1 32 305.909 perimeter-heads
3 1 33 305.741 perimeter-heads
3 1 34 305.564 perimeter-heads
3 1 35 305.388 perimeter-heads
3 1 36 305.201 perimeter-heads
3 1 37 305.015 perimeter-heads
3 1 38 304.829 perimeter-heads
3 1 39 304.625 perimeter-heads
3 1 40 304.422 perimeter-heads
3 1 41 304.219 perimeter-heads
3 1 42 304.025 perimeter-heads
3 1 43 303.832 perimeter-heads
3 1 44 303.633 perimeter-heads
3 1 45 303.434 perimeter-heads
3 1 46 303.229 perimeter-heads
3 1 47 303.024 perimeter-heads
3 1 48 302.819 perimeter-heads
3 1 49 302.615 perimeter-heads
3 1 50 302.412 perimeter-heads
3 1 51 302.208 perimeter-heads
3 1 52 302.006 perimeter-heads
3 1 53 301.804 perimeter-heads
3 1 54 301.609 perimeter-heads
3 1 55 301.415 perimeter-heads
3 1 56 301.218 perimeter-heads
3 1 57 301.02 perimeter-heads
3 1 58 300.821 perimeter-heads
3 1 59 300.634 perimeter-heads
3 1 60 300.447 perimeter-heads
3 1 61 300.265 perimeter-heads
3 1 62 300.084 perimeter-heads
3 1 63 299.902 perimeter-heads
3 1 64 299.736 perimeter-heads
3 1 65 299.571 perimeter-heads
3 1 66 299.405 perimeter-heads
3 1 67 299.239 perimeter-heads
3 1 68 299.073 perimeter-heads
3 1 69 298.921 perimeter-heads
